Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13,Dim14,Dim15,Pattern
0.520007,0.21110566,-0.85473895,6.8113785,-0.2901064,-5.394687,-2.5718632,2.2538404,3.6490278,-2.600022,-0.5087518,6.022287,-7.4340434,-8.948178,7.826795,random
-0.017092094,0.17897256,-2.659073,6.447865,-0.49002653,-3.5887513,-2.2211657,-1.4326404,2.5532672,-3.897978,0.3609675,5.41717,-9.308875,-7.38628,6.348604,random
0.0517134,0.84990937,-1.9609226,5.2700334,-1.4016763,-2.9848523,-2.3637347,-1.8365211,3.4609969,-4.582159,-0.60100514,4.6747956,-9.221032,-9.1472435,5.8396664,random
0.28738528,-0.01679894,-0.7093212,5.676634,-1.2157378,-4.1564684,-3.5855837,0.4339676,4.324102,-3.6723173,-0.6037469,5.157523,-9.583428,-9.521603,6.815447,random
0.46545345,0.099658765,-0.4912071,6.4988503,-0.5372268,-5.4960866,-3.510591,1.8143066,4.157438,-2.3520126,-0.5447486,6.035924,-8.136809,-9.496098,7.6752715,random
-0.9298964,1.5741339,-1.9571475,6.273069,-0.80360186,-6.827815,-4.855884,0.99752414,4.526407,-4.0820427,-0.30995405,5.4320955,-9.759403,-8.966267,6.9156017,random
-0.56958014,0.4706379,-1.7196351,6.1574473,0.36260608,-6.415116,-2.3653305,1.9424853,4.6466255,-3.0071363,0.0329908,6.3733644,-9.016776,-9.125568,7.9438496,random
-0.7533648,0.5626346,-2.121408,5.778893,-0.42766535,-6.3346715,-2.5484157,1.6821774,4.2061906,-3.0913363,-0.030488545,6.456352,-8.921307,-8.869389,7.338339,random
-1.2360228,0.23229027,-1.8816779,5.032638,-1.1000425,-6.177366,-3.5586712,0.9155805,4.1047263,-3.414883,0.008070975,6.5140433,-9.8526945,-8.737202,7.186838,random
-1.2219048,1.1302148,-0.6289928,6.6935234,-0.75796795,-7.7710857,-3.7822907,1.3659,6.3924346,-3.1394708,-0.28153783,7.19216,-9.709346,-10.622364,6.8229275,random
0.61551976,0.34683466,-1.0975773,7.337666,-0.5073025,-4.6131277,-5.2534404,1.9799403,5.7347817,-2.4807749,0.38669464,5.738597,-10.328588,-8.4821205,7.550226,random
-1.551241,0.513081,0.13110244,6.4012494,-0.2959077,-5.5807257,-4.9037414,-2.197682,3.7251499,-3.5546887,0.45640677,5.058064,-11.079734,-8.581799,7.9992046,random
-2.1096103,0.7181191,0.59218794,6.9107966,-3.0290928,-4.6138926,-4.860643,-0.57470787,5.3867626,-3.6406453,0.4247175,5.914719,-10.339395,-8.478779,6.555479,random
-1.4368851,0.4793294,0.77666014,7.305334,-2.5891407,-4.9432473,-4.331592,-0.01154434,5.6160626,-3.9774258,1.1575193,5.3194685,-10.8234825,-8.059299,6.1995907,random
0.3222945,1.3353003,-1.2370797,7.55527,1.8460103,-5.3523827,-4.910047,0.832361,4.307176,-1.7534037,0.65215635,4.46051,-9.971984,-9.600025,8.142794,random
-4.293852,2.3983667,0.04314417,6.4512014,-1.9160017,-6.986006,-5.5987334,1.055386,3.5935738,-0.8799489,0.33823574,6.841723,-10.35811,-10.797253,5.4959927,random
-3.159048,2.1097145,-0.38928646,5.9587345,-2.7612102,-5.0232606,-3.6388013,1.6504897,2.4511878,-2.0034711,0.063207746,5.9926457,-8.482097,-9.735891,4.8836155,random
-3.3788683,1.260708,0.43713063,5.931242,-3.2724054,-5.915486,-4.6884017,1.4379112,3.2384615,-2.2189457,0.08658384,7.0123057,-9.8777275,-9.79092,4.8274665,random
-2.8155074,1.2405227,0.5667215,5.8914347,-2.9501605,-5.575289,-4.4346156,1.4019296,2.9260316,-2.1853058,-0.090440296,6.923381,-9.698998,-9.360111,4.809557,random
-0.862662,0.9225924,-0.5374969,7.6705403,-0.8244451,-4.663717,-4.7225504,1.2780683,2.4741385,-1.7833353,0.48219606,5.466427,-8.536743,-8.147343,6.535997,random
0.12099476,0.41170737,-0.3371266,5.756549,-1.6517476,-5.8069315,-3.5172172,3.0071552,3.6383321,-4.531699,-0.31122133,3.3679154,-8.973527,-9.458745,5.494504,random
0.16522266,0.7657429,-0.26434392,5.861627,-1.3874619,-5.8835917,-3.7843347,3.372258,3.6839223,-4.005681,-0.010314694,3.0566156,-8.891197,-9.830374,5.5389104,random
-2.0012126,-0.20865552,-1.1921097,4.2934933,-2.8253613,-5.1835065,-3.7904692,-0.16132535,2.994662,-4.92573,-1.4506134,5.6965537,-10.66925,-8.803684,5.7053432,random
-1.9888632,0.06480299,-1.0781074,4.252901,-2.883884,-5.0361195,-3.951524,-0.13808545,3.0058978,-4.4827952,-1.1132971,5.243168,-10.599622,-8.948002,5.6420803,random
-1.366257,-1.490947,-1.5273609,7.0246162,-0.18305229,-5.9288774,-3.1442654,-0.5177185,3.331614,-3.9768987,-0.8927736,6.2944765,-9.756674,-8.811024,7.42404,random
0.02147065,1.6776013,-1.3694278,5.82525,-2.0221632,-3.1604764,-1.3586165,1.9502126,0.8984284,-4.2368226,-0.61451256,4.329681,-6.097525,-7.1286364,5.879125,random
-0.46822184,1.4805433,-1.9178936,6.3669906,-0.4026581,-4.5193596,-1.0516824,2.9203942,0.4510459,-2.529399,0.569445,3.865938,-6.414103,-8.250614,6.173611,random
0.17349961,1.8352015,-1.419609,5.3979473,-3.009982,-2.5993018,-0.8243275,3.2871928,1.0178993,-2.4349685,-0.22220933,4.237433,-5.040423,-8.626273,4.8568454,random
0.4416415,1.5487168,-1.6325518,6.157522,-2.2013686,-3.0287504,-1.7147563,2.1021416,1.4809065,-3.8812494,-0.8319883,4.5816917,-6.0916476,-7.4304805,5.7759957,random
-0.07580683,2.0039804,-1.5270096,5.806708,-0.7671164,-4.3170023,-2.154633,1.0242282,0.80022305,-3.4574769,-0.25433773,3.6717446,-6.6482754,-8.582763,6.2292604,random
1.1522233,2.3251748,-1.4480782,6.8098483,-1.5466018,1.5008996,-0.15026592,3.0665805,-2.6511562,-3.089844,-0.28547174,3.04096,-3.8064792,-7.549244,6.4891057,random
0.6638889,2.6095564,-1.0823561,7.066811,-1.5112827,1.3434093,0.49540117,2.2456005,-3.1271925,-3.1289885,-0.33748624,3.1716096,-3.3568118,-7.731467,6.1109014,random
